"utterance","episode_name","season","episode_number","character"
"[SIGHS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[MIMICKING DUSTIN] I’d go with Toothless.","Chapter One The Vanishing of Will Byers","1","1",NA
"I told you a million times, my teeth are coming in.","Chapter One The Vanishing of Will Byers","1","1",NA
"It’s called cleidocranial dysplasia.","Chapter One The Vanishing of Will Byers","1","1",NA
"[MIMICKING DUSTIN] “I told you a million times.”","Chapter One The Vanishing of Will Byers","1","1",NA
"[CHUCKLES]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Do the arm thing.","Chapter One The Vanishing of Will Byers","1","1",NA
"Do it, freak!","Chapter One The Vanishing of Will Byers","1","1",NA
"[BONES CRACKING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[BOTH GROANING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"God, it gets me every time.","Chapter One The Vanishing of Will Byers","1","1","Troy"
"Assholes.","Chapter One The Vanishing of Will Byers","1","1",NA
"MIKE: I think it’s kinda cool.","Chapter One The Vanishing of Will Byers","1","1",NA
"It’s like you have superpowers or something.","Chapter One The Vanishing of Will Byers","1","1",NA
"Like Mr. Fantastic.","Chapter One The Vanishing of Will Byers","1","1",NA
"Yeah, except I can’t fight evil with it.","Chapter One The Vanishing of Will Byers","1","1","Dustin"
"[BELL RINGING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"So, did he call?","Chapter One The Vanishing of Will Byers","1","1","Barbara"
"Keep your voice down.","Chapter One The Vanishing of Will Byers","1","1",NA
"Did he?","Chapter One The Vanishing of Will Byers","1","1",NA
"I told you, it’s not like that.","Chapter One The Vanishing of Will Byers","1","1",NA
"Okay, I mean, yes, he likes me, but not like that.","Chapter One The Vanishing of Will Byers","1","1",NA
"We just...","Chapter One The Vanishing of Will Byers","1","1",NA
"made out a couple times.","Chapter One The Vanishing of Will Byers","1","1",NA
"“We just... made out a couple times.”","Chapter One The Vanishing of Will Byers","1","1",NA
"Nance, seriously,","Chapter One The Vanishing of Will Byers","1","1",NA
"you’re gonna be so cool now, it’s ridiculous.","Chapter One The Vanishing of Will Byers","1","1",NA
"No, I’m not.","Chapter One The Vanishing of Will Byers","1","1",NA
"You better still hang out with me, that’s all I’m saying.","Chapter One The Vanishing of Will Byers","1","1",NA
